ENERC_KCAL,2000
FAT,65
FASAT,20
FATRN,0
FAMS,24
FAPU,20
CHOCDF,300
FIBTG,25
SUGAR,
PROCNT,50
CHOLE,300
NA,2400
CA,1000
MG,400
K,3500
FE,18
ZN,15
P,1000
VITA_RAE,500
VITC,60
THIA,1.5
RIBF,1.7
NIA,20
VITB6A,2.0
FOL,400
VITB12,6.0
VITD,10
TOCPHA,20
VITK1,80
